time,u,spike1,spike2
12,10,0,1
13,0,1,0
14,0,0,0
15,0,0,0
16,0,0,1
17,10,0,0
18,0,1,1
19,0,0,0
20,0,0,0
21,10,0,1
22,10,0,0
23,0,1,0
24,0,0,0
25,0,0,1
26,10,0,0
27,0,1,1
28,10,0,0
29,0,1,1
30,10,0,0
31,0,1,0
32,0,0,1
33,0,0,0
34,0,0,1
35,10,0,0
36,10,0,1
37,0,1,0
38,0,0,1
39,0,0,0
40,0,0,0
41,0,0,1
42,10,0,0
43,0,1,0
44,0,0,
45,0,0,1
46,10,0,0
47,0,1,0
48,0,0,0
49,0,0,1
50,10,0,0
51,0,1,0
52,10,0,1
53,0,1,0
54,0,0,0
55,10,0,0
56,0,1,0
57,0,0,1
58,10,0,0
59,0,1,0
60,0,0,0
61,10,0,0
62,10,0,0
63,10,0,1
64,10,0,0
65,10,0,1
66,0,1,0
67,10,0,0
68,10,0,1
69,0,1,0
70,10,0,0
71,10,0,0
72,10,0,0
73,10,0,1
74,0,1,0
75,0,0,1
76,10,0,0
77,10,0,0
78,10,0,1
79,10,0,0
80,10,0,0
81,10,0,0
82,0,1,1
83,10,0,0
84,0,1,0
85,10,0,0
86,10,0,1
87,0,1,0
88,0,0,0
89,10,0,1
90,0,1,0
91,0,0,0
92,0,0,0
93,10,0,0
94,10,0,0
95,0,1,1
96,0,0,0
97,10,0,1
98,10,0,0
99,10,0,0
100,10,0,1
101,10,0,0
102,0,1,0
103,10,0,0
104,10,0,1
105,10,0,0
106,10,0,0
107,0,1,0
108,10,0,0
109,0,1,1
110,0,0,0
111,10,0,1
112,0,1,0
113,10,0,0
114,10,0,0
115,0,1,1
116,10,0,0
117,10,0,0
118,10,0,0
119,0,1,0
120,10,0,0
121,10,0,0
122,10,0,0
123,0,1,0
124,0,0,0
125,0,0,1
126,0,0,0
127,10,0,0
128,0,1,0
129,0,0,0
130,0,0,0
131,10,0,0
132,10,0,1
133,0,1,0
134,0,0,1
135,10,0,0
136,0,1,0
137,10,0,0
138,0,1,1
139,0,0,0
140,0,0,1
141,0,0,0
142,0,0,1
143,0,0,0
144,10,0,1
145,0,1,0
146,10,0,1
147,10,0,0
148,0,1,1
149,0,0,0
150,10,0,0
151,0,1,0
152,0,0,0
153,10,0,0
154,0,1,1
155,0,0,0
156,10,0,0
157,0,1,1
158,0,0,0
159,10,0,1
160,0,1,0
161,10,0,0
162,0,1,0
163,0,0,0
164,10,0,0
165,10,0,0
166,10,0,0
167,0,1,0
168,10,0,0
169,10,0,1
170,10,0,0
171,0,1,0
172,10,0,0
173,10,0,1
174,10,0,0
175,10,0,0
176,10,0,0
177,0,1,0
178,10,0,0
179,0,1,1
180,10,0,0
181,0,1,0
182,10,0,0
183,10,0,1
184,0,1,0
185,10,0,0
186,10,0,0
187,0,1,1
188,10,0,0
189,10,0,0
190,0,1,1
191,10,0,0
192,0,1,1
193,0,0,0
194,0,0,0
195,10,0,0
196,0,1,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,1
201,10,0,0
202,10,0,0
203,0,1,0
204,0,0,1
205,10,0,0
206,0,1,0
207,10,0,0
208,10,0,1
209,0,1,0
210,10,0,0
211,10,0,1
212,0,1,0
213,10,0,0
214,0,1,0
215,10,0,0
216,10,0,0
217,0,1,0
218,0,0,0
219,10,0,0
220,0,1,0
221,10,0,1
222,10,0,0
223,0,1,0
224,0,0,0
225,10,0,1
226,10,0,0
227,0,1,0
228,10,0,0
229,0,1,0
230,0,0,0
231,0,0,0
232,0,0,1
233,0,0,0
234,0,0,1
235,0,0,0
236,10,0,0
237,10,0,0
238,0,1,1
239,10,0,0
240,0,1,0
241,10,0,0
242,10,0,1
243,0,1,0
244,10,0,0
245,10,0,0
246,10,0,0
247,10,0,1
248,10,0,0
249,10,0,0
250,0,1,0
251,10,0,0
252,10,0,1
253,10,0,0
254,10,0,0
255,0,1,0
256,10,0,0
257,10,0,1
258,10,0,0
259,0,1,1
260,0,0,0
261,10,0,1
262,0,1,0
263,0,0,1
264,10,0,0
265,10,0,0
266,0,1,1
267,10,0,0
268,10,0,1
269,0,1,0
270,0,0,1
271,0,0,0
272,10,0,0
273,10,0,0
274,0,1,0
275,10,0,0
276,0,1,1
277,10,0,0
278,0,1,0
279,10,0,0
280,0,1,0
281,0,0,0
282,10,0,0
283,10,0,0
284,10,0,0
285,0,1,1
